,speaker,background,speech,type,gender,debate,day,order,PERSON,ORG,GPE,NORP,LAW,LOC,polarity_sentiment
4549,Bernie Sanders,,"I get a little bit tired -- I must say -- of people defending a system which is dysfunctional, which is cruel, 87 million uninsured, 30,000 people dying every single year, 500,000 people going bankrupt for one reason, they came down with cancer.",Candidate,male,4,1,142,,,,,,,-0.3628968253968254
4550,Bernie Sanders,,"I will tell you what the issue is here. The issue is whether the Democratic Party has the guts to stand up to the health care industry, which made $100 billion in profit, whether we have the guts to stand up to the corrupt, price-fixing pharmaceutical industry, which is charging us the highest prices in the world for prescription drugs.",Candidate,male,4,1,143,,the Democratic Party;,,,,,-0.5
4552,Bernie Sanders,,"And if we don't have the guts to do that, if all we can do is take their money, we should be ashamed of ourselves.",Candidate,male,4,1,145,,,,,,,0.0
4554,Joe Biden,,We can stand up to them.,Candidate,male,4,1,147,,,,,,,0.0
4556,Kamala Harris,,"This is the sixth debate we have had in this presidential cycle and not nearly one word, with all of these discussions about health care, on women's access to reproductive health care, which is under full-on attack in America today.",Candidate,female,4,1,149,,,America;,,,,-0.05
4558,Kamala Harris,,"And it's outrageous. There are states that have passed laws that will virtually prevent women from having access to reproductive health care. And it is not an exaggeration to say women will die, poor women, women of color will die, because these Republican legislatures in these various states who are out of touch with America are telling women what to do with our bodies.",Candidate,female,4,1,151,,,America;,Republican;,,,-0.4666666666666666
4559,Kamala Harris,,Women are the majority of the population in this country. People need to keep their hands off of women's bodies and let women make the decisions about their own lives.,Candidate,female,4,1,152,,,,,,,0.6
4562,Kamala Harris,,And let's talk about that.,Candidate,female,4,1,155,,,,,,,0.0
4564,Kamala Harris,,That is a significant health care issue in America today.,Candidate,female,4,1,157,,,America;,,,,0.375
4568,Bernie Sanders,,"Damn right we will. And I'll tell you why. If you look at what goes on in America today, we have an infrastructure which is collapsing. We could put 15 million people to work rebuilding our roads, our bridges, our water systems, our wastewater plants, airports, et cetera.",Candidate,male,4,1,161,,,America;,,,,0.2857142857142857
4569,Bernie Sanders,,Furthermore -- and I hope we will discuss it at length tonight -- this planet faces the greatest threat in its history from climate change. And the Green New Deal that I have advocated will create up to 20 million jobs as we move away from fossil fuel to energy efficiency and sustainable energy.,Candidate,male,4,1,162,,,,,,,0.31212121212121213
4570,Bernie Sanders,,"We need workers to do childcare. We need workers, great teachers to come in to school systems which don't have the teachers that we need right now. We need more doctors. We need more dentists. We need more carpenters. We need more sheet metal workers. And when we talk about making public colleges and universities tuition fee and cancelling student debt, we're going to give those people the opportunity to get those good jobs.",Candidate,male,4,1,163,,,,,,,0.4732142857142857
4572,Andrew Yang,,"I am for the spirit of a federal jobs guarantee, but you have to look at how it would actually materialize in practice. What are the jobs? Who manages you? What if you don't like your job? What if you're not good at your job?",Candidate,male,4,1,165,,,,,,,-0.175
